date_found,platform_discussed,theme,source,source_url,post_date,verbatim_quote,sentiment,notes
2026-05-04,Vagaro,complexity,Capterra,https://www.capterra.com/p/153752/Vagaro/reviews/,,"""where do I go?"" ""How can I find this info?""",negative,"Reviewer reports feeling lost frequently in Vagaro UI; cited as evidence of cluttered/non-intuitive nav for solo operators"
2026-05-04,Vagaro,cost,Capterra,https://www.capterra.com/p/153752/Vagaro/reviews/,,"""had gotten waaay too expensive and overblown""",negative,"Long-time user complaining about pricing creep over time"
2026-05-04,Vagaro,cost,Trustpilot,https://www.trustpilot.com/review/vagaro.com,,"""milk you for every nickel and dime they can get""",negative,"Frequent phrase across negative Vagaro reviews — add-on cost creep is the core complaint"
2026-05-04,Vagaro,cost,Trustpilot,https://www.trustpilot.com/review/vagaro.com,,"""they up charge for everything""",negative,"Spa owner who switched away after one year"
2026-05-04,Vagaro,cost,BusyBook,https://busybook.co/blog/vagaro-alternative-massage-therapists/,,"""constantly paying extra for features that don't quite fit your workflow""",negative,"Article aggregating solo LMT switching complaints — features feel salon-first not massage-first"
2026-05-04,Vagaro,cost,Vagaro Support Forum,https://support.vagaro.com/hc/en-us/articles/15269070651163-About-Surcharges-and-Convenience-Fees,,"""Vagaro is very misleading with this card on file transaction fee. I feel as if I'm being cheated out of my money for asking my clients to pay a deposit fee and Vagaro take a high percentage if it.""",negative,"Card-on-file deposit fee is a recurring complaint; user feels deceived by fee structure"
2026-05-04,Vagaro,cost,BusyBook,https://busybook.co/blog/vagaro-alternative-massage-therapists/,,"""pay extra for so many things including soap notes""",negative,"Solo LMT wants SOAP notes included in base price — flagged as core competitive gap"
2026-05-04,Vagaro,cost,Merchant Maverick,https://www.merchantmaverick.com/reviews/vagaro-review/,,"""$140 charge for a 'free card reader fee' after canceling after just one month""",negative,"Cancellation fee complaint; reflects friction with hardware leasing terms"
2026-05-04,Mindbody,cost,Trustpilot,https://www.trustpilot.com/review/mindbodyonline.com,2025-11,"""contracts are strictly enforced"" ... ""If this had been mentioned, I would not have proceeded.""",negative,"Small business signed up Nov 2025; learned about 12-month lock-in only at cancellation; obligations through 2026"
2026-05-04,Mindbody,switching,SmartCustomer,https://www.smartcustomer.com/reviews/mindbodyonline.com,,"""trapping them in long-term, high-cost contracts, then making the cancellation process so convoluted and demoralizing that people give up""",negative,"1.2-star aggregate (79 reviews); suggests pattern of contract/cancellation friction targeting small businesses"
2026-05-04,Mindbody,cost,MassageBook,https://pro.massagebook.com/alternatives/mindbody,,"""Booker/ Mindbody, they are ridiculously expensive and software is down half the time""",negative,"Quoted in competitor comparison; reflects sentiment about reliability + price"
2026-05-04,Mindbody,complexity,Capterra,https://www.capterra.com/p/40229/MINDBODY/reviews/,,"""WAY too many features""",mixed,"Solo operator who switched FROM Mindbody TO Vagaro citing simplicity — telling: even Vagaro feels lighter than Mindbody to some"
2026-05-04,Mindbody,complexity,G2,https://www.g2.com/products/mindbody/reviews,,"""the initial learning curve is challenging because the system is so comprehensive""",mixed,"Mindbody's complexity is consistent theme — multiple reviewers cite onboarding overwhelm; some gym owners hire consultants to configure"
2026-05-04,Mindbody,cost,Capterra,https://www.capterra.com/p/40229/MINDBODY/reviews/,,"""expensive monthly fees, hidden fees for exposure""",negative,"Recurring complaints about marketplace exposure fees + pricing opacity"
2026-05-04,Acuity,advice-seeking,Acuity Case Study,https://acuityscheduling.com/learn/vital-massage-booking-software-case-study,,"""Acuity helps me look more professional as a solopreneur and improves my efficiency by allowing clients to book whenever they want instead of calling me directly.""",positive,"Brianna Evans, solo LMT — vendor-published but a verbatim quote about why solos pick Acuity"
2026-05-04,Acuity,complexity,Plutio,https://www.plutio.com/freelancer-magazine/still-using-acuity,,"""Squarespace acquired Acuity in 2021 and has not added invoicing, contracts, project management, or any business tool beyond scheduling in over four years of ownership""",negative,"Critique of stagnant product development under Squarespace — opportunity if competitors can pair scheduling + intake + payments natively"
2026-05-04,Square Appointments,complexity,Square Community,https://community.squareup.com/t5/Beauty-Wellness/Not-happy-about-New-Square-pricing/m-p/357708,,"""the new free plan doesn't support calendar sync, which makes it basically non-functional for someone who doesn't keep regular business hours but is by appointment only, and paying $29 a month just for calendar sync seems absurd""",negative,"Solo by-appointment LMT frustrated with free-plan downgrade; ""basically non-functional"" is sharp language"
